epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,255.769,1.579,2.83163,1.18788,0.57603,0.466,0.41787,0.25307,1.28509,2.32008,1.05549,0.000328502,0.000328502,0.000328502
2,494.267,1.31134,1.49207,1.04479,0.60308,0.64393,0.62238,0.41123,1.18689,1.76756,1.01708,0.000629075,0.000629075,0.000629075
3,732.686,1.22522,1.27698,1.0093,0.66444,0.68191,0.70036,0.47715,1.13148,1.22689,0.99371,0.000896647,0.000896647,0.000896647
4,1356.2,1.18452,1.18127,0.99794,0.66382,0.73841,0.73647,0.51431,1.10287,1.15126,0.98667,0.0008515,0.0008515,0.0008515
5,1666.14,1.16557,1.11495,0.99592,0.76525,0.7739,0.81758,0.58375,1.10785,1.00629,0.98195,0.000802,0.000802,0.000802
6,1879.43,1.1363,1.06691,0.98851,0.75906,0.76453,0.81137,0.59051,1.05868,0.912,0.97633,0.0007525,0.0007525,0.0007525
7,2118.23,1.10467,1.0348,0.97933,0.75485,0.80467,0.8234,0.60814,1.0642,0.90892,0.96483,0.000703,0.000703,0.000703
8,2315.82,1.09862,1.00547,0.96785,0.81179,0.77619,0.83347,0.6002,1.11875,0.92973,0.97575,0.0006535,0.0006535,0.0006535
9,2519.91,1.08922,0.96613,0.96588,0.79505,0.82564,0.85963,0.64896,1.01395,0.84606,0.95574,0.000604,0.000604,0.000604
10,2721.96,1.06401,0.94164,0.9633,0.7636,0.81752,0.84498,0.62819,1.04303,0.85756,0.95904,0.0005545,0.0005545,0.0005545
11,2933.48,1.04517,0.87715,0.9665,0.78611,0.82966,0.85846,0.64755,1.0114,0.88686,0.94689,0.000505,0.000505,0.000505
12,3149.46,1.01971,0.84086,0.96421,0.78498,0.75383,0.80573,0.59945,1.02668,0.87628,0.96119,0.0004555,0.0004555,0.0004555
13,3364.92,1.02843,0.82312,0.96674,0.80494,0.84694,0.86674,0.65946,1.00531,0.83218,0.94767,0.000406,0.000406,0.000406
14,3581.62,1.00419,0.80534,0.95428,0.81951,0.85501,0.8851,0.68837,0.97437,0.77816,0.94146,0.0003565,0.0003565,0.0003565
15,3798.19,0.98783,0.7817,0.95627,0.8535,0.85319,0.89442,0.69918,0.96328,0.7469,0.93651,0.000307,0.000307,0.000307
16,4014.22,0.97514,0.76451,0.94645,0.83886,0.86691,0.89589,0.7009,0.96851,0.73548,0.93561,0.0002575,0.0002575,0.0002575
17,4231.25,0.96883,0.75115,0.9443,0.84282,0.86388,0.89713,0.70313,0.97046,0.73325,0.93131,0.000208,0.000208,0.000208
18,4447.77,0.96035,0.7352,0.94407,0.85497,0.86728,0.90249,0.71101,0.95262,0.72591,0.93174,0.0001585,0.0001585,0.0001585
19,4663.34,0.95303,0.7292,0.94407,0.83958,0.87772,0.89979,0.70749,0.95069,0.723,0.93102,0.000109,0.000109,0.000109
20,4879.56,0.94001,0.71881,0.93667,0.84333,0.88176,0.9036,0.71504,0.94392,0.71053,0.92876,5.95e-05,5.95e-05,5.95e-05
